urdu,nagari,transliteration,count
نیشتر,नेशतर,neshtar,1
سر پنجہِ مژگانِ آہو,सरपंजा‐ए‐मिझ़गान‐ए‐आहू,sar-panjah-e mizhgaan-e aahuu,1
محوِ وفا,महव‐ए‐वफ़ा,ma;hv-e vafaa,1
حیرتِ نقشِ پا,हैरत‐ए‐नक़श‐ए‐पा,;hairat-e naqsh-e paa,1
خجالت,ख़जालत,;xajaalat,1
براے خدا,बरा‐ए‐ख़ुदा,baraa-e ;xudaa,1
رو,रौ,rau,1
درِ کعبہ,दर‐ए‐काबा,dar-e ka((bah,1
کاغض,काग़ज़,kaa;ga.z,1
زیرِ لب,ज़ेर‐ए‐लब,zer-e lab,1
قمار خانہِ عشق,क़िमारख़ाना‐ए‐इशक़,qimaar-;xaanah-e ((ishq,1
تلے,तले,tale,1
قطرہِ مے,क़तरा‐ए‐मै,qa:trah-e mai,1
بیضہِ مور,बैज़ा‐ए‐मोर,bai.zah-e mor,1
گل کتر,गुलकतर,gul-katar,1
افسونِ انتظار,अफ़सून‐ए‐इंतिज़ार,afsuun-e inti:zaar,1
اتّفاقی,इततिफ़ाक़ी,ittifaaqii,1
دوریِ منزل,दूरी‐ए‐मंज़िल,duurii-e manzil,1
شبِ فراق,शब‐ए‐फ़िराक़,shab-e firaaq,1
در خورِ محفل,दरख़ुर‐ए‐महफ़िल,dar-;xvur-e ma;hfil,1
پندار,पिंदार,pindaar,1
وفورِ اشک,वुफ़ूर‐ए‐अशक,vufuur-e ashk,1
وجودِ بحر,वुजूद‐ए‐बहर,vujuud-e ba;hr,1
دام گاہ,दामगाह,daam-gaah,1
وجہ,वजह,vaj'h,1
عمرِ ورع,उमर‐ए‐वरा,((umr-e vara((,1
بیضہِ قمری,बैज़ा‐ए‐क़ुमरी,bai.zah-e qumrii,1
تمثالِ شیریں,तिमसाल‐ए‐शीरीं,tim;saal-e shiirii;n,1
قد و گیسو,क़द‐ओ‐गेसू,qad-o-gesuu,1
رخصتِ نالہ,रुख़सत‐ए‐नाला,ru;x.sat-e naalah,1
شاہدِ گل,शाहिद‐ए‐गुल,shaahid-e gul,1
نیستاں,नयसताँ,nayastaa;n,1
پروانہ,परवाना,parvaanah,1
قدح,क़दह,qada;h,1
مدفن,मदफ़न,madfan,1
پشت گرمیِ آئینہ,पुशतगरमी‐ए‐आईना,pusht-garmii-e aa))iinah,1
صداے خندہِ دل,सदा‐ए‐ख़ंदा‐ए‐दिल,.sadaa-e ;xandah-e dil,1
مغنّیِ آتش نفس,मुग़न्नी‐ए‐आतिशनफ़स,mu;gannii-e aatish-nafas,1
حقیقتِ جاں کاہیِ مرض,हक़ीक़त‐ए‐जाँकाही‐ए‐मरज़,;haqiiqat-e jaa;n-kaahii-e mara.z,1
باور,बावर,baavar,1
بودِ چراغِ کشتہ,बूद‐ए‐चिराग़‐ए‐कुशता,buud-e chiraa;g-e kushtah,1
ستم و جورِ نا خدا,सितम‐ओ‐जोर‐ए‐नाख़ुदा,sitam-o-jor-e naa-;xudaa,1
شبہاے ہجراں,शबहा‐ए‐हिजराँ,shab'haa-e hijraa;n,1
مے و نغمہ,मै‐ओ‐नग़मा,mai-o-na;gmah,1
مثلِ نقشِ مدّعاے غیر,मिसल‐ए‐नक़श‐ए‐मुददआ‐ए‐ग़ैर,mi;sl-e naqsh-e mudda((aa-e ;gair,1
محرومیِ قسمت,महरूमी‐ए‐क़िसमत,ma;hruumii-e qismat,1
تشنہِ خوں,तिशना‐ए‐ख़ूँ,tishnah-e ;xuu;n,1
تہمتیں,तुहमतें,tuhmate;n,1
داغِ پلنگ,दाग़‐ए‐पलंग,daa;g-e palang,1
بتِ پیغارہ جو,बुत‐ए‐पैग़ाराजू,but-e pai;gaarah-juu,1
رگِ سنگ,रग‐ए‐संग,rag-e sang,1
رعنائیِ خیال,रानाई‐ए‐ख़याल,ra((naa))ii-e ;xayaal,1
داغِ عشق,दाग़‐ए‐इशक़,daa;g-e ((ishq,1
سروِ چراغاں,सरव‐ए‐चिराग़ाँ,sarv-e chiraa;gaa;n,1
جنوں علامت,जुनूँअलामत,junuu;n-((alaamat,1
ہنگامِ بے خودی,हंगाम‐ए‐बेख़ुदी,hangaam-e be-;xvudii,1
بے قراری,बेक़रारी,be-qaraarii,1
فسانہ خوانیِ شمع,फ़सानाख़वानी‐ए‐शमा,fasaanah-;xvaanii-e sham((a,1
نیم غمزہ,नीमग़मज़ा,niim-;gamzah,1
سیرِ عدم,सैर‐ए‐अदम,sair-e ((adam,1
یقینِ اجابت,यक़ीन‐ए‐इजाबत,yaqiin-e ijaabat,1
مثلِ دود,मिसल‐ए‐दूद,mi;sl-e duud,1
وفادار,वफ़ादार,vafaadaar,1
تشنہ لب,तिशनालब,tishnah-lab,1
لڑکوں,लड़कों,la;rko;n,1
ماندگی,मांदगी,maa;ndagii,1
خیمے,ख़ेमे,;xeme,1
مغفرت,मग़फ़रत,ma;gfarat,1
جزوِ اعظم,जुज़व‐ए‐आज़म,juzv-e a((:zam,1
گلیوں,गलयों,galyo;n,1
مہربانیہاے دشمن,मिहरबानीहा‐ए‐दुशमन,mihrbaaniihaa-e dushman,1
ابرِ بہار,अबर‐ए‐बहार,abr-e bahaar,1
خونِ خلق,ख़ून‐ए‐ख़लक़,;xuun-e ;xalq,1
تونبے,तूंबे,tuu;nbe,1
درویش,दरवेश,darvesh,1
رقصِ شرر,रक़स‐ए‐शरर,raq.s-e sharar,1
جھکنے,झुकने,jhukne,1
فردا و دی,फ़रदा‐ओ‐दी,fardaa-o-dii,1
بگڑتا,बिगड़ता,biga;rtaa,1
آب و ہواے زندگی,आब‐ओ‐हवा‐ए‐ज़िंदगी,aab-o-havaa-e zindagii,1
اعتبارِ نغمہ,एतबार‐ए‐नग़मा,i((tibaar-e na;gmah,1
سمجھونگا,समझूंगा,samjhuu;ngaa,1
چلی,चली,chalii,1
تندیِ صہبا,तुंदी‐ए‐सहबा,tundii-e .sahbaa,1
رہنِ عشق و نا گزیرِ الفتِ ہستی,रहन‐ए‐इशक़‐ओ‐नागुज़ीर‐ए‐उलफ़त‐ए‐हसती,rahn-e ((ishq-o-naa-guziir-e ulfat-e hastii,1
بنایا,बनाया,banaayaa,1
نگاہِ عجز,निगाह‐ए‐अजज़,nigaah-e ((ajz,1
کوند,कोंद,ko;nd,1
فروغِ طالعِ خاشاک,फ़ुरोग़‐ए‐ताला‐ए‐ख़ाशाक,furo;g-e :taala((-e ;xaashaak,1
سامان,सामान,saamaan,1
صلح,सुलह,.sul;h,1
لحظہ,लहज़ा,la;h:zah,1
اداے ناز,अदा‐ए‐नाज़,adaa-e naaz,1
گرمِ فریاد,गरम‐ए‐फ़रयाद,garm-e faryaad,1
نشّہِ رنگ,नशशा‐ए‐रंग,nashshah-e rang,1
خارِ کسوتِ فانوس,ख़ार‐ए‐किसवत‐ए‐फ़ानूस,;xaar-e kisvat-e faanuus,1
تاخیر,ताख़ीर,taa;xiir,1
جنونِ ساختہ و فصلِ گل,जुनून‐ए‐साख़ता‐ओ‐फ़सल‐ए‐गुल,junuun-e saa;xtah-o-fa.sl-e gul,1
ذوقِ ستم,ज़ौक़‐ए‐सितम,;zauq-e sitam,1
دورِ جام,दौर‐ए‐जाम,daur-e jaam,1
بک,बक,bak,1
مصوّری,मुसववरी,mu.savvarii,1
پیالہ,पियाला,piyaalah,1
زلفِ مشکیں,ज़ुलफ़‐ए‐मुशकीं,zulf-e mushkii;n,1
کٹتی,कटती,ka;ttii,1
ارزانی,अरज़ानी,arzaanii,1
بے مے,बेमै,be-mai,1
گالیوں,गालियों,gaaliyo;n,1
تمہید,तमहीद,tamhiid,1
حسرتِ تعمیر,हसरत‐ए‐तामीर,;hasrat-e ta((miir,1
سطوتِ قاتل,सतवत‐ए‐क़ातिल,sa:tvat-e qaatil,1
شرحِ ہنگامہِ ہستی,शरह‐ए‐हंगामा‐ए‐हसती,shar;h-e hangaamah-e hastii,1
داغِ حسرتِ ہستی,दाग़‐ए‐हसरत‐ए‐हसती,daa;g-e ;hasrat-e hastii,1
صرفِ وفا,सरफ़‐ए‐वफ़ा,.sarf-e vafaa,1
نذرِ دل فریبیِ عنواں,नज़र‐ए‐दिलफ़रेबी‐ए‐उंवाँ,na;zr-e dil-farebii-e ((unvaa;n,1
دانہ,दाना,daanah,1
سر تا سرِ خاک,सरतासर‐ए‐ख़ाक,sar-taa-sar-e ;xaak,1
جاں فزا,जाँफ़िज़ा,jaa;n-fizaa,1
بیقراری,बेक़रारी,beqaraarii,1
دلیلِ سحر,दलील‐ए‐सहर,daliil-e sa;har,1
بیٹھ,बैठ,bai;th,1
سونپی,सौंपी,sau;npii,1
اندازہِ ہمّت,अंदाज़ा‐ए‐हिममत,andaazah-e himmat,1
شکایتِ رنجِ گراں نشیں,शिकायत‐ए‐रंज‐ए‐गिराँनिशीं,shikaayat-e ranj-e giraa;n-nishii;n,1
لالے,लाले,laale,1
سمائی,समाई,samaa))ii,1
اصلِ ایماں,असल‐ए‐ईमाँ,a.sl-e iimaa;n,1
نگاہِ بے حجابِ ناز,निगाह‐ए‐बेहिजाब‐ए‐नाज़,nigaah-e be-;hijaab-e naaz,1
عیادت,इयादत,((iyaadat,1
گونہ,गूना,guunah,1
لافِ تمکیں,लाफ़‐ए‐तमकीं,laaf-e tamkii;n,1
خواستہ,ख़वासता,;xvaastah,1
گزر گاہِ خیالِ مے و ساغر,गुज़रगाह‐ए‐ख़याल‐ए‐मै‐ओ‐साग़र,guzar-gaah-e ;xayaal-e mai-o-saa;gar,1
دامِ ہر,दाम‐ए‐हर,daam-e har,1
کھینچے,खैंचे,khai;nche,1
گزرتی,गुज़रती,guzartii,1
چھٹ,छुट,chhu;t,1
ندیمِ دوست,नदीम‐ए‐दोसत,nadiim-e dost,1
گراں جانی,गिराँजानी,giraa;n-jaanii,1
حریف,हरीफ़,;hariif,1
مہینے,महीने,mahiine,1
لبِ بام,लब‐ए‐बाम,lab-e baam,1
اندازِ چکیدن,अंदाज़‐ए‐चकीदन,andaaz-e chakiidan,1
گہوارہ جنبانی,गहवाराजुंबानी,gahvaarah-junbaanii,1
سمجھیے,समझये,samajhye,1
طوفِ حرم,तौफ़‐ए‐हरम,:tauf-e ;haram,1
کفر,कुफ़र,kufr,1
رنگِ خار,रंग‐ए‐ख़ार,rang-e ;xaar,1
فدا,फ़िदा,fidaa,1
شیشہ باز,शीशाबाज़,shiishah-baaz,1
تبِ عشق,तब‐ए‐इशक़,tab-e ((ishq,1
دجلہ,दिजला,dijlah,1
غم خوارِ جانِ درد مند,ग़मख़वार‐ए‐जान‐ए‐दरदमंद,;gam-;xvaar-e jaan-e dard-mand,1
جلوہ فرمائی,जलवाफ़रमाई,jalvah-farmaa))ii,1
کمندِ شکارِ اثر,कमंद‐ए‐शिकार‐ए‐असर,kamand-e shikaar-e a;sar,1
مکتبِ غمِ دل,मकतब‐ए‐ग़म‐ए‐दिल,maktab-e ;gam-e dil,1
سوزِ جاودانیِ شمع,सोज़‐ए‐जाविदानी‐ए‐शमा,soz-e jaavidaanii-e sham((a,1
درد و الم,दरद‐ओ‐अलम,dard-o-alam,1
بدلنے,बदलने,badalne,1
آشفتہ سروں,आशुफ़तासरों,aashuftah-saro;n,1
چشمِ روزن,चशम‐ए‐रौज़न,chashm-e rauzan,1
وجود و عدم,वुजूद‐ओ‐अदम,vujuud-o-((adam,1
وادیِ پر خار,वादी‐ए‐पुरख़ार,vaadii-e pur-;xaar,1
فردِ جمع و خرجِ زبانہاے لال,फ़रद‐ए‐जम‐ओ‐ख़रज‐ए‐ज़बांहा‐ए‐लाल,fard-e jam((-o-;xarj-e zabaa;nhaa-e laal,1
آہِ نیم شبی,आह‐ए‐नीमशबी,aah-e niim-shabii,1
موجِ محیطِ بے خودی,मौज‐ए‐मुहीत‐ए‐बेख़ुदी,mauj-e mu;hii:t-e be-;xvudii,1
مانندِ گل,मानिंद‐ए‐गुल,maanind-e gul,1
عبرت,इबरत,((ibrat,1
خستہِ تیغِ ستم,ख़सता‐ए‐तेग़‐ए‐सितम,;xastah-e te;g-e sitam,1
نومید,नौमेद,naumed,1
در و دیوارِ غم کدہ,दर‐ओ‐दीवार‐ए‐ग़मकदा,dar-o-diivaar-e ;gam-kadah,1
لشکر,लशकर,lashkar,1
چاہو,चाहो,chaaho,1
یاس,यास,yaas,1
بے چین,बेचैन,be-chain,1
حجابِ پاسِ وضع,हिजाब‐ए‐पास‐ए‐वज़ा,;hijaab-e paas-e va.z((a,1
نطق,नुतक़,nu:tq,1
گرنی,गिरनी,girnii,1
اڑانے,उड़ाने,u;raane,1
چھوڑونگا,छोड़ूंगा,chho;ruu;ngaa,1
کھلی,खुली,khulii,1
کھنچ,खिंच,khi;nch,1
حرم,हरम,;haram,1
سم,सम,sam,1
روئیے,रोइये,ro))iye,1
شہیدِ گلِ خزانیِ شمع,शहीद‐ए‐गुल‐ए‐ख़िज़ानी‐ए‐शमा,shahiid-e gul-e ;xizaanii-e sham((a,1
آہ و فغاں,आह‐ओ‐फ़िग़ाँ,aah-o-fi;gaa;n,1
دلِ بے مدّعا,दिल‐ए‐बेमुददआ,dil-e be-mudda((aa,1
حسنِ مہ,हुसन‐ए‐मा,;husn-e mah,1
دل و جاں,दिल‐ओ‐जाँ,dil-o-jaa;n,1
پینس,पीनस,piinas,1
منحرف,मुंहरिफ़,mun;harif,1
زہد,ज़ुहद,zuhd,1
دست و بازو,दसत‐ओ‐बाज़ू,dast-o-baazuu,1
خوں ناب,ख़ूँनाब,;xuu;n-naab,1
مرجاں,मरजाँ,marjaa;n,1
پیٹوں,पीटूँ,pii;tuu;n,1
شایانِ دست و خنجرِ قاتل,शायान‐ए‐दसत‐ओ‐ख़ंजर‐ए‐क़ातिल,shaayaan-e dast-o-;xanjar-e qaatil,1
نا کردہ,नाकरदा,naa-kardah,1
دکانِ متاعِ نظر,दुकान‐ए‐मता‐ए‐नज़र,dukaan-e mataa((-e na:zar,1
نورِ صبح,नूर‐ए‐सुबह,nuur-e .sub;h,1
بے صدا,बेसदा,be-.sadaa,1
کھاؤں,खाऊँ,khaa))uu;n,1
رہیے,रहये,rahye,1
کافر,काफ़र,kaafar,1
ذوقِ تماشا,ज़ौक़‐ए‐तमाशा,;zauq-e tamaashaa,1
پریشانیاں,परेशानियाँ,pareshaaniyaa;n,1
مصیبت,मुसीबत,mu.siibat,1
ظاہرً,ज़ाहिरन,:zaahira:n,1
ہوا خواہ,हवाख़वाह,havaa-;xvaah,1
کشاد و بستِ مژہ,कुशाद‐ओ‐बसत‐ए‐मिझ़ा,kushaad-o-bast-e mizhah,1
روشِ خاص,रविश‐ए‐ख़ास,ravish-e ;xaa.s,1
پیچ و تابِ ہوس,पेच‐ओ‐ताब‐ए‐हवस,pech-o-taab-e havas,1
ملےگا,मिलेगा,milegaa,1
کثرتِ غم,कसरत‐ए‐ग़म,ka;srat-e ;gam,1
پابندِ نے,पाबंद‐ए‐नै,paaband-e nai,1
پیرِ کنعاں,पीर‐ए‐कंाँ,piir-e kan((aa;n,1
آرزوئیں,आरज़ुएँ,aarzuu))e;n,1
منّت,मिन्नत,minnat,1
بد مستیِ ہر,बदमसती‐ए‐हर,bad-mastii-e har,1
سامانِ نازِ زخمِ دل,सामान‐ए‐नाज़‐ए‐ज़ख़म‐ए‐दिल,saamaan-e naaz-e za;xm-e dil,1
محرومیِ تسلیم و بدا,महरूमी‐ए‐तसलीम‐ओ‐बदा,ma;hruumii-e tasliim-o-badaa,1
مصیبتِ نا سازیِ دوا,मुसीबत‐ए‐नासाज़ी‐ए‐दवा,mu.siibat-e naa-saazii-e davaa,1
دوڑائے,दौड़ाए,dau;raa))e,1
سپندِ بزمِ وصلِ غیر,सिपंद‐ए‐बज़म‐ए‐वसल‐ए‐ग़ैर,sipand-e bazm-e va.sl-e ;gair,1
رخشِ عمر,रख़श‐ए‐उमर,ra;xsh-e ((umr,1
فروغِ شمعِ بالیں,फ़ुरोग़‐ए‐शम‐ए‐बालीं,furo;g-e sham((-e baalii;n,1
جیب و دامن,जेब‐ओ‐दामन,jeb-o-daaman,1
فرش,फ़रश,farsh,1
ایاغ,अयाग़,ayaa;g,1
پلکوں,पलकों,palko;n,1
خطر,ख़तर,;xa:tar,1
کالبدِ صورتِ دیوار,कालबुद‐ए‐सूरत‐ए‐दीवार,kaalbud-e .suurat-e diivaar,1
شناور,शिनावर,shinaavar,1
دل آزردگاں,दिलआज़ुरदगाँ,dil-aazurdagaa;n,1
خوبیِ اوضاعِ ابناے زماں,ख़ूबी‐ए‐औज़ा‐ए‐अबना‐ए‐ज़माँ,;xuubii-e au.zaa((-e abnaa-e zamaa;n,1
یاروں,यारों,yaaro;n,1
جنّتِ نگاہ,जन्नत‐ए‐निगाह,jannat-e nigaah,1
پاوے,पावे,paave,1
طرزِ تپاکِ اہلِ دنیا,तरज़‐ए‐तपाक‐ए‐अहल‐ए‐दुंया,:tarz-e tapaak-e ahl-e dunyaa,1
آغوشِ خمِ حلقہِ زنّار,आग़ोश‐ए‐ख़म‐ए‐हलक़ा‐ए‐ज़ुन्नार,aa;gosh-e ;xam-e ;halqah-e zunnaar,1
رہزنی,रहज़नी,rahzanii,1
ہموار,हमवार,hamvaar,1
سادہ دل,सादादिल,saadah-dil,1
رندِ شاہد باز,रिंद‐ए‐शाहिदबाज़,rind-e shaahid-baaz,1
درِ گنجینہِ گوہر,दर‐ए‐गंजीना‐ए‐गौहर,dar-e ganjiinah-e gauhar,1
شگفتنِ گلہاے ناز,शुगुफ़तन‐ए‐गुलहा‐ए‐नाज़,shuguftan-e gulhaa-e naaz,1
شعاے مہر,शुआ‐ए‐मिहर,shu((aa-e mihr,1
رزقِ ہم,रिज़क़‐ए‐हम,rizq-e ham,1
بلاے آسمانی,बला‐ए‐आसमानी,balaa-e aasmaanii,1
ملک ال موت,मलकउलमौत,malak-ul-maut,1
جوہرِ تیغ,जौहर‐ए‐तेग़,jauhar-e te;g,1
گرمِ دامن افشانی,गरम‐ए‐दामनअफ़शानी,garm-e daaman-afshaanii,1
حرفِ مکرّر,हरफ़‐ए‐मुकररर,;harf-e mukarrar,1
گداے مے,गदा‐ए‐मै,gadaa-e mai,1
طاقتِ فریاد,ताक़त‐ए‐फ़रयाद,:taaqat-e faryaad,1
سرِ رہگزر,सर‐ए‐रहगुज़र,sar-e rahguzar,1
گھبراویں‌گے,घबरावेंगे,ghabraave;nge,1
طی,तय,:tay,1
الماس,अलमास,almaas,1
سیلِ خان ماں,सैल‐ए‐ख़ानमाँ,sail-e ;xaan-maa;n,1
ملیں‌گے,मिलेंगे,mile;nge,1
داغِ مہ,दाग़‐ए‐मा,daa;g-e mah,1
جلوہِ تمثال,जलवा‐ए‐तिमसाल,jalvah-e tim;saal,1
نفسِ عطر ساے گل,नफ़स‐ए‐इतरसा‐ए‐गुल,nafas-e ((i:tr-saa-e gul,1
حضرتِ یوسف,हज़रत‐ए‐यूसुफ़,;ha.zrat-e yuusuf,1
شرابِ طہور,शराब‐ए‐तहूर,sharaab-e :tahuur,1
ورق گردانیِ نیرنگِ یک,वरक़गरदानी‐ए‐नैरंग‐ए‐यक,varaq-gardaanii-e nairang-e yak,1
اثرِ گریہ,असर‐ए‐गिरया,a;sar-e giryah,1
پا بستگیِ رسم و رہِ عام,पाबसतगी‐ए‐रसम‐ओ‐रा‐ए‐आम,paa-bastagii-e rasm-o-rah-e ((aam,1
حالِ وفا,हाल‐ए‐वफ़ा,;haal-e vafaa,1
بہادرِ عالی گہر,बहादुर‐ए‐आलीगुहर,bahaadur-e ((aalii-guhar,1
بے محابا,बेमुहाबा,be-mu;haabaa,1
عرضِ نازِ شوخیِ دنداں,अरज़‐ए‐नाज़‐ए‐शोख़ी‐ए‐दंदाँ,((ar.z-e naaz-e sho;xii-e dandaa;n,1
داستانِ شوق,दासतान‐ए‐शौक़,daastaan-e shauq,1
فقط,फ़क़त,faqa:t,1
یہاں,यहाँ,yahaa;n,1
کھائیے,खाइये,khaa))iye,1
صورتِ نقشِ قدم,सूरत‐ए‐नक़श‐ए‐क़दम,.suurat-e naqsh-e qadam,1
ناچتے,नाचते,naachte,1
تنِ نازک,तन‐ए‐नाज़ुक,tan-e naazuk,1
سنم پرستوں,सनमपरसतों,sanam-parasto;n,1
دربانی,दरबानी,darbaanii,1
بستیوں,बसतियों,bastiyo;n,1
دل و مژگاں,दिल‐ओ‐मिझ़गाँ,dil-o-mizhgaa;n,1
طاقتِ پرواز,ताक़त‐ए‐परवाज़,:taaqat-e parvaaz,1
آمدِ فصلِ لالہ کاری,आमद‐ए‐फ़सल‐ए‐लालाकारी,aamad-e fa.sl-e laalah-kaarii,1
شکوہِ بیداد,शिकवा‐ए‐बेदाद,shikvah-e bedaad,1
مبدّل,मुबददल,mubaddal,1
تباہی,तबाही,tabaahii,1
کھانے,खाने,khaane,1
ننگِ بال و پر,नंग‐ए‐बाल‐ओ‐पर,nang-e baal-o-par,1
دیدہ و دل,दीदा‐ओ‐दिल,diidah-o-dil,1
حوصلے,हौसले,;hau.sle,1
بتلائیں,बतलाएं,batlaa))e;n,1
رو شناسِ خلق,रूशिनास‐ए‐ख़लक़,ruu-shinaas-e ;xalq,1
مے کشی,मैकशी,mai-kashii,1
نیامِ پردہِ زخمِ جگر,नियाम‐ए‐परदा‐ए‐ज़ख़म‐ए‐जिगर,niyaam-e pardah-e za;xm-e jigar,1
بساطِ نشاطِ دل,बिसात‐ए‐नशात‐ए‐दिल,bisaa:t-e nashaa:t-e dil,1
دراز دستیِ قاتل,दराज़दसती‐ए‐क़ातिल,daraaz-dastii-e qaatil,1
مجموعہِ خیال,मजमूअह‐ए‐ख़याल,majmuu((ah-e ;xayaal,1
ٹھہریں,ठहरें,;thahre;n,1
اسیروں,असीरों,asiiro;n,1
ریائی,रियाई,riyaa))ii,1
مقامِ ترکِ حجاب و وداعِ تمکیں,मक़ाम‐ए‐तरक‐ए‐हिजाब‐ओ‐विदा‐ए‐तमकीं,maqaam-e tark-e ;hijaab-o-vidaa((-e tamkii;n,1
فصلِ گل,फ़सल‐ए‐गुल,fa.sl-e gul,1
مقتل,मक़तल,maqtal,1
زیارت گاہِ حیرانی,ज़ियारतगाह‐ए‐हैरानी,ziyaarat-gaah-e ;hairaanii,1
اندازے,अंदाज़े,andaaze,1
چھپنا,छुपना,chhupnaa,1
آزادہ و خود بیں,आज़ादा‐ओ‐ख़ुदबीं,aazaadah-o-;xvud-bii;n,1
دریا آشنا,दरयाआशना,daryaa-aashnaa,1
گھاس,घास,ghaas,1
گوشِ نصیحت نیوش,गोश‐ए‐नसीहतनियोश,gosh-e na.sii;hat-niyosh,1
نشاطِ عشق,नशात‐ए‐इशक़,nashaa:t-e ((ishq,1
با وجودِ یک,बावुजूद‐ए‐यक,baa-vujuud-e yak,1
تہییہِ طوفاں,तहीया‐ए‐तूफ़ाँ,tahiiyah-e :tuufaa;n,1
چھیڑے,छेड़े,chhe;re,1
تماشائیِ نیرنگِ تمنّا,तमाशाई‐ए‐नैरंग‐ए‐तमन्ना,tamaashaa))ii-e nairang-e tamannaa,1
با ہم دگر,बाहमदिगर,baa-ham-digar,1
بر پا,बरपा,bar-paa,1
شوقِ وصل,शौक़‐ए‐वसल,shauq-e va.sl,1
غمِ دنیا,ग़म‐ए‐दुंया,;gam-e dunyaa,1
لباس,लिबास,libaas,1
کھولنا,खोलना,kholnaa,1
تماشاے اہلِ کرم,तमाशा‐ए‐अहल‐ए‐करम,tamaashaa-e ahl-e karam,1
گواہِ عشق,गवाह‐ए‐इशक़,gavaah-e ((ishq,1
گرم بازارِ فوجداری,गरमबाज़ार‐ए‐फ़ौजदारी,garm-baazaar-e faujdaarii,1
کیسے,कैसे,kaise,1
خورشیدِ قیامت,ख़ुरशीद‐ए‐क़ियामत,;xvurshiid-e qiyaamat,1
عذر خواہِ لبِ بے سوال,उज़रख़वाह‐ए‐लब‐ए‐बेसवाल,((u;zr-;xvaah-e lab-e be-savaal,1
غلطی,ग़लती,;gala:tii,1
مٹنا,मिटना,mi;tnaa,1
سیلیِ ندامت,सीली‐ए‐नदामत,siilii-e nadaamat,1
گرا,गिरा,giraa,1
کاغذی,काग़ज़ी,kaa;ga;zii,1
لکد کوبِ حوادث,लकदकोब‐ए‐हवादिस,lakad-kob-e ;havaadi;s,1
گلدستہ,गुलदसता,guldastah,1
سروِ سبزِ جوئبارِ نغمہ,सरव‐ए‐सबज़‐ए‐जूइबार‐ए‐नग़मा,sarv-e sabz-e juu))ibaar-e na;gmah,1
کائنات,काइनात,kaa))inaat,1
مشاہدہِ حق,मुशाहदा‐ए‐हक़,mushaahadah-e ;haq,1
پیچ و خم,पेच‐ओ‐ख़म,pech-o-;xam,1
انجمنِ ناز,अंजुमन‐ए‐नाज़,anjuman-e naaz,1
دستِ تہِ سنگ آمدہ,दसत‐ए‐ता‐ए‐संगआमदा,dast-e tah-e sang-aamadah,1
تجاہل پیشگی,तजाहुलपेशगी,tajaahul-peshagii,1
دلِ شوریدہ,दिल‐ए‐शोरीदा,dil-e shoriidah,1
سراب,सराब,saraab,1
سرور و سوز,सुरूर‐ओ‐सोज़,suruur-o-soz,1
شہیدوں,शहीदों,shahiido;n,1
سیہ,सिया,siyah,1
خشک,ख़ुशक,;xushk,1
خداوندِ نعمت,ख़ुदावंद‐ए‐निमत,;xudaavand-e ni((mat,1
سرشار,सरशार,sarshaar,1
مژدہِ قتل,मुझ़दा‐ए‐क़तल,muzhdah-e qatl,1
بنیے,बनिये,baniye,1
کامیاب,कामयाब,kaamyaab,1
شفا,शफ़ा,shafaa,1
بطِ مے,बत‐ए‐मै,ba:t-e mai,1
روندی,रौंदी,rau;ndii,1
قولِ ناسخ,क़ौल‐ए‐नासिख़,qaul-e naasi;x,1
منسوب,मंसूब,mansuub,1
سرِ رشتہِ سلامت,सर‐ए‐रिशता‐ए‐सलामत,sar-e rishtah-e salaamat,1
دور,दौर,daur,1
آتش افشانی,आतिशअफ़शानी,aatish-afshaanii,1
رقیبِ سر و ساماں,रक़ीब‐ए‐सर‐ओ‐सामाँ,raqiib-e sar-o-saamaa;n,1
بانی,बानी,baanii,1
پوچھنا,पूछना,puuchhnaa,1
سامانِ زنگ,सामान‐ए‐ज़ंग,saamaan-e zang,1
غرقہِ مے,ग़रक़ा‐ए‐मै,;garqah-e mai,1
ڈراتا,डराता,;daraataa,1
بہانے,बहाने,bahaane,1
رہنِ مے,रहन‐ए‐मै,rahn-e mai,1
رکھیے,रखये,rakhye,1
اداس,उदास,udaas,1
پرہیز,परहेज़,parhez,1
رکاب,रकाब,rakaab,1
ٹھانی,ठानी,;thaanii,1
طوفانِ حوادث,तूफ़ान‐ए‐हवादिस,:tuufaan-e ;havaadi;s,1
گنبدِ بے در,गुंबद‐ए‐बेदर,gunbad-e be-dar,1
سونپا,सौंपा,sau;npaa,1
نبضِ خس,नबज़‐ए‐ख़स,nab.z-e ;xas,1
نا داں,नादाँ,naa-daa;n,1
خورشیدِ جہاں تاب,ख़ुरशीद‐ए‐जहाँताब,;xvurshiid-e jahaa;n-taab,1
پائداری,पाइदारी,paa))idaarii,1
ظرفِ قدح خوار,ज़रफ़‐ए‐क़दहख़वार,:zarf-e qada;h-;xvaar,1
اہلِ ہوس,अहल‐ए‐हवस,ahl-e havas,1
حسنِ عمل,हुसन‐ए‐अमल,;husn-e ((amal,1
بیدادِ عشق,बेदाद‐ए‐इशक़,bedaad-e ((ishq,1
ساحلِ دریاے خوں,साहिल‐ए‐दरया‐ए‐ख़ूँ,saa;hil-e daryaa-e ;xuu;n,1
جانیں,जानें,jaane;n,1
تاب و تواں,ताब‐ओ‐तवाँ,taab-o-tavaa;n,1
ہنگامِ کمال,हंगाम‐ए‐कमाल,hangaam-e kamaal,1
