urdu,transliteration,count
گاوشے ماحبّت,gosh-e mu;habbat,1
ضامانے نشاط,.zaamin-e nashaa:t,1
حرایفے جاوشاشے دریا,;hariif-e joshish-e daryaa,1
جاوشے گاریہ,josh-e giryah,1
خندہے حباب,;xandah-e a;hbaab,1
محرمایے حاسن,ma;hramii-e ;husn,1
دالے حسرت زدہ,dil-e ;hasrat-zadah,1
تنے مجراوحے عاشاق,tan-e majruu;h-e ((aashiq,1
باواجاودے دال جمعای,baavujuud-e dil-jam((ii,1
محوے ائاینہ دارای,ma;hv-e aa))iinah-daarii,1
نوازاشہاے بی جا,navaazish'haa-e be-jaa,1
